FECHA;HORA;G2_VT_1RLA;G2_VT_1RLO;G2_VT_2RLA;G2_VT_2RLO;G2_VT_ALO;G2_JT_GEN_P;G2_ZT_INY1;G2_ZT_INY2;G2_ZT_INY3;G2_ZT_INY4;G2_ZT_INY5;G2_ZT_INY6
19-07-2019;10:50:00;***;***;***;***;***;***;***;***;***;***;***;***
19-07-2019;10:50:01;1.27443;0.467994;1.05577;0.224918;0.412909;13510;43.5386;43.18;41.1688;43.1937;43.2303;43.5737
19-07-2019;10:50:02;1.5108;0.479133;1.28923;0.213474;0.491798;13520;43.4958;43.2151;41.1688;43.1937;43.2303;43.5737
19-07-2019;10:50:03;1.44732;0.483101;1.13863;0.266117;0.469368;13520;43.5737;43.18;41.1688;43.1937;43.2303;43.5737
19-07-2019;10:50:04;1.60143;0.456703;1.34188;0.213474;0.551919;13510;43.5386;43.2151;41.207;43.2303;43.2303;43.5737
19-07-2019;10:50:05;1.60876;0.471504;1.28145;0.243229;0.476692;13510;43.5737;43.2151;41.207;43.1937;43.2654;43.5737
19-07-2019;10:50:06;1.54879;0.479133;1.29656;0.216983;0.462043;13510;43.5386;43.2151;41.1688;43.1937;43.2303;43.6088
19-07-2019;10:50:07;1.45083;0.471504;1.24392;0.209506;0.454566;13520;43.5386;43.2578;41.1688;43.2303;43.2303;43.5309
19-07-2019;10:50:08;1.54131;0.479133;1.37911;0.243229;0.529488;13520;43.5386;43.2151;41.1688;43.1937;43.2654;43.5737
19-07-2019;10:50:09;1.66888;0.471504;1.43603;0.224918;0.518196;13520;43.6118;43.2151;41.207;43.2303;43.2303;43.5737
19-07-2019;10:50:10;1.52972;0.471504;1.23659;0.22858;0.480964;13510;43.5386;43.2151;41.1688;43.2303;43.2303;43.5737
19-07-2019;10:50:11;1.51507;0.471504;1.25521;0.266117;0.462043;13510;43.5737;43.2578;41.207;43.2685;43.2303;43.5737
19-07-2019;10:50:12;1.46624;0.48661;1.18746;0.273747;0.450446;13520;43.5386;43.2578;41.207;43.2303;43.3036;43.6469
19-07-2019;10:50:13;1.7969;0.471504;1.3756;0.221103;0.465553;13520;43.5386;43.2578;41.2421;43.2685;43.2654;43.6469
19-07-2019;10:50:14;1.60143;0.460212;1.31914;0.198672;0.446479;13520;43.5737;43.2151;41.207;43.2685;43.2654;43.5737
19-07-2019;10:50:15;1.55612;0.471504;1.33425;0.221103;0.491798;13520;43.5737;43.2959;41.207;43.2303;43.3036;43.6088
19-07-2019;10:50:16;1.44335;0.471504;1.2137;0.281224;0.450446;13520;43.6118;43.2578;41.207;43.2685;43.3036;43.6088
19-07-2019;10:50:17;1.52239;0.479133;1.22881;0.239719;0.454566;13520;43.5737;43.2959;41.207;43.2685;43.2654;43.6088
19-07-2019;10:50:18;1.47356;0.471504;1.21767;0.22858;0.43183;13520;43.5737;43.331;41.2421;43.2685;43.2654;43.6088
19-07-2019;10:50:19;1.32296;0.475624;1.12383;0.239719;0.4094;13520;43.6118;43.2578;41.2802;43.2685;43.2654;43.6469
19-07-2019;10:50:20;1.66537;0.467994;1.39422;0.232395;0.495766;13520;43.6118;43.2578;41.2421;43.2685;43.3036;43.6088
19-07-2019;10:50:21;1.60876;0.464179;1.28923;0.216983;0.465553;13530;43.6515;43.2959;41.207;43.2685;43.3448;43.6088
19-07-2019;10:50:22;1.28923;0.479133;1.15755;0.273747;0.458076;13540;43.6118;43.2959;41.2421;43.2685;43.3448;43.6469
19-07-2019;10:50:23;1.64675;0.471504;1.30007;0.221103;0.499275;13510;43.6118;43.2959;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:50:24;1.58251;0.483101;1.25521;0.216983;0.480964;13510;43.5737;43.2959;41.2421;43.2303;43.3036;43.6088
19-07-2019;10:50:25;1.57885;0.479133;1.31914;0.235904;0.446479;13530;43.5737;43.2959;41.2421;43.2685;43.2654;43.6469
19-07-2019;10:50:26;1.55261;0.464179;1.21767;0.22858;0.458076;13530;43.6118;43.331;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:50:27;1.51507;0.471504;1.28145;0.205997;0.480964;13520;43.5737;43.331;41.2421;43.2685;43.3448;43.6469
19-07-2019;10:50:28;1.53719;0.479133;1.24392;0.22858;0.450446;13520;43.6118;43.2959;41.2421;43.3036;43.3036;43.6088
19-07-2019;10:50:29;1.48516;0.467994;1.31563;0.209506;0.428321;13530;43.5737;43.2959;41.2802;43.2685;43.3036;43.6866
19-07-2019;10:50:30;1.54131;0.490425;1.29274;0.25864;0.458076;13530;43.5737;43.2959;41.2421;43.2685;43.3036;43.6088
19-07-2019;10:50:31;1.47707;0.475624;1.31167;0.232395;0.472877;13530;43.5737;43.331;41.2421;43.3036;43.3036;43.6088
19-07-2019;10:50:32;1.41711;0.479133;1.2401;0.251316;0.507362;13520;43.6118;43.2959;41.2421;43.2685;43.3448;43.6866
19-07-2019;10:50:33;1.2668;0.479133;1.07118;0.213474;0.484474;13520;43.5737;43.331;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:50:34;1.34585;0.475624;1.02205;0.235904;0.476692;13520;43.6118;43.2959;41.2421;43.3036;43.3036;43.6088
19-07-2019;10:50:35;1.33455;0.475624;1.17266;0.224918;0.435645;13540;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:36;1.46975;0.475624;1.23659;0.224918;0.465553;13540;43.6515;43.331;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:50:37;1.3756;0.464179;1.20287;0.202182;0.458076;13540;43.6118;43.3707;41.2421;43.3448;43.3036;43.6469
19-07-2019;10:50:38;1.52972;0.475624;1.31914;0.232395;0.50309;13520;43.6118;43.331;41.2802;43.2685;43.3448;43.6866
19-07-2019;10:50:39;1.2668;0.464179;1.10842;0.243229;0.458076;13530;43.6118;43.331;41.2802;43.3036;43.3036;43.6088
19-07-2019;10:50:40;1.35348;0.479133;1.15023;0.22858;0.495766;13550;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:41;1.39071;0.48661;1.20287;0.224918;0.458076;13550;43.6118;43.2959;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:42;1.44335;0.483101;1.26299;0.221103;0.469368;13530;43.6515;43.2959;41.2802;43.2685;43.3448;43.6469
19-07-2019;10:50:43;1.20668;0.475624;1.09758;0.251316;0.442969;13510;43.6118;43.331;41.2421;43.2685;43.3448;43.6866
19-07-2019;10:50:44;1.37987;0.467994;1.07469;0.239719;0.450446;13530;43.6118;43.2959;41.2421;43.2685;43.3448;43.6469
19-07-2019;10:50:45;1.67651;0.479133;1.37179;0.216983;0.507362;13540;43.6515;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:46;1.55993;0.475624;1.31563;0.243229;0.488289;13550;43.5737;43.3707;41.2421;43.3448;43.3036;43.6469
19-07-2019;10:50:47;1.40612;0.479133;1.24392;0.25864;0.450446;13530;43.6118;43.331;41.2802;43.3036;43.3036;43.6088
19-07-2019;10:50:48;1.42443;0.48661;1.25521;0.251316;0.472877;13520;43.6515;43.2959;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:49;1.30083;0.471504;1.16106;0.235904;0.484474;13520;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:50;1.37179;0.464179;1.24392;0.239719;0.450446;13520;43.6515;43.331;41.2421;43.3448;43.3448;43.6866
